GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD
2021,50054,25,28,25,0.200,5,0,5,0.200,0,1,5,0,2,0
2021,50150,7,12,10,0.100,1,0,1,0.100,0,1,2,0,1,0
2021,50165,51,205,185,0.243,45,8,78,0.422,0,18,43,0,2,2
2021,50167,14,19,16,0.125,2,0,2,0.125,0,1,7,0,1,0
2021,50202,33,24,20,0.100,2,0,2,0.100,0,2,2,0,0,0
2021,50208,2,3,3,0.000,0,0,0,0.000,0,0,1,0,0,0
2021,50304,13,11,10,0.200,2,0,2,0.200,0,1,2,0,0,0
2021,50312,28,12,9,0.111,1,0,2,0.222,0,3,4,0,0,0
2021,50357,22,56,47,0.106,5,0,7,0.149,0,9,21,0,0,1
2021,50365,13,17,14,0.143,2,0,2,0.143,0,3,4,0,0,1
2021,50458,68,196,172,0.267,46,1,54,0.314,3,13,21,0,0,0
2021,50506,68,274,231,0.277,64,4,90,0.390,5,37,34,1,1,5
2021,50657,12,21,20,0.200,4,0,4,0.200,0,1,4,0,0,0
2021,50704,31,115,103,0.155,16,1,24,0.233,0,9,41,0,1,1
2021,50707,9,24,22,0.182,4,2,10,0.455,1,1,5,0,0,0
2021,50709,33,120,107,0.196,21,0,25,0.234,1,9,32,0,0,1
2021,50854,72,290,240,0.263,63,4,89,0.371,3,38,34,0,5,4
2021,50923,73,291,257,0.280,72,18,137,0.533,3,24,81,1,7,3
2021,51003,44,66,50,0.240,12,1,19,0.380,0,15,22,0,0,0
2021,51004,60,250,225,0.271,61,7,91,0.404,2,22,50,0,1,9
2021,51005,11,39,33,0.212,7,0,8,0.242,0,6,6,1,0,0
2021,51100,27,38,35,0.343,12,1,16,0.457,0,2,10,0,0,0
2021,51203,52,144,131,0.275,36,2,52,0.397,3,7,35,0,3,3
2021,51302,4,10,9,0.111,1,1,4,0.444,0,1,6,0,0,0
2021,51324,43,148,139,0.259,36,2,52,0.374,1,7,29,0,1,7
2021,51344,18,60,42,0.167,7,1,11,0.262,1,12,17,0,2,0
2021,51463,80,361,324,0.312,101,20,177,0.546,2,30,45,1,5,3
2021,51551,23,75,66,0.227,15,1,20,0.303,1,8,21,0,0,0
2021,51560,2,7,6,0.000,0,0,0,0.000,0,0,4,0,0,0
2021,51640,1,3,3,0.000,0,0,0,0.000,0,0,3,0,0,0
2021,51706,9,27,21,0.143,3,0,3,0.143,0,3,10,0,1,1
2021,51725,67,268,249,0.257,64,7,98,0.394,1,16,58,0,2,6
2021,51817,75,319,251,0.255,64,13,114,0.454,3,56,69,1,9,6
2021,51868,1,4,4,0.000,0,0,0,0.000,0,0,3,0,0,0
2021,51907,3,3,3,0.000,0,0,0,0.000,0,0,1,0,0,0
2021,60288,1,2,2,0.000,0,0,0,0.000,0,0,0,0,0,0
2021,60343,14,44,39,0.231,9,0,12,0.308,1,1,9,0,1,0
2021,60523,71,316,279,0.333,93,9,136,0.487,1,34,45,2,1,3
2021,60558,67,127,119,0.252,30,4,46,0.387,0,8,32,0,0,3
2021,60566,4,13,13,0.308,4,0,4,0.308,0,0,2,0,0,0
2021,61102,69,247,221,0.253,56,5,81,0.367,2,16,36,0,7,7
2021,61186,59,195,167,0.216,36,2,49,0.293,1,23,22,0,3,10
2021,61197,23,38,36,0.333,12,1,18,0.500,0,1,7,0,1,0
2021,61208,47,167,145,0.228,33,0,42,0.290,2,15,22,1,1,5
2021,61353,44,104,94,0.255,24,0,27,0.287,2,8,15,0,0,3
2021,61404,67,190,167,0.305,51,3,68,0.407,1,17,19,0,4,6
2021,61554,42,134,108,0.213,23,1,32,0.296,2,16,35,0,8,3
2021,61700,12,26,22,0.136,3,0,3,0.136,0,4,10,0,0,0
2021,61743,16,31,29,0.207,6,1,10,0.345,0,2,9,0,0,1
2021,61869,28,76,71,0.197,14,2,23,0.324,0,3,16,0,0,0
2021,61895,4,1,1,0.000,0,0,0,0.000,0,0,1,0,0,0
2021,62025,31,69,65,0.231,15,0,17,0.262,1,1,11,0,1,1
2021,62234,37,130,112,0.259,29,0,32,0.286,2,11,16,0,4,3
2021,62244,33,105,87,0.241,21,0,25,0.287,1,12,14,0,4,2
2021,62265,8,25,21,0.143,3,0,4,0.190,0,3,5,0,1,1
2021,62332,15,21,20,0.150,3,0,5,0.250,0,1,4,0,0,0
2021,62353,26,10,9,0.000,0,0,0,0.000,1,0,1,0,0,1
2021,62404,76,336,296,0.280,83,11,139,0.470,7,30,55,2,2,6
2021,62415,77,327,275,0.302,83,4,111,0.404,4,38,46,2,2,0
2021,62556,41,108,90,0.200,18,0,22,0.244,0,13,25,0,2,2
2021,62558,47,131,111,0.207,23,4,40,0.360,2,17,35,0,1,2
2021,62700,75,324,287,0.282,81,4,116,0.404,0,31,74,0,5,3
2021,62802,8,6,6,0.333,2,0,3,0.500,0,0,1,0,0,0
2021,62864,51,154,123,0.228,28,2,40,0.325,1,29,29,1,0,2
2021,62884,5,17,16,0.250,4,0,6,0.375,0,0,4,0,0,1
2021,62893,18,8,6,0.500,3,0,3,0.500,0,1,1,0,1,1
2021,62895,73,284,238,0.261,62,13,113,0.475,4,32,60,2,9,5
2021,62907,50,215,180,0.261,47,1,61,0.339,2,22,23,0,7,4
2021,62908,6,19,17,0.176,3,0,3,0.176,0,1,3,0,1,1
2021,62925,55,209,183,0.262,48,4,72,0.393,1,18,33,1,6,8
2021,62931,66,245,207,0.324,67,6,97,0.469,2,30,58,0,3,2
2021,62947,74,338,303,0.290,88,17,157,0.518,2,23,68,2,10,4
2021,63123,47,167,150,0.227,34,2,47,0.313,0,11,36,1,2,3
2021,63202,54,149,128,0.234,30,2,41,0.320,0,13,36,0,4,0
2021,63257,70,251,200,0.275,55,5,82,0.410,2,44,36,0,1,7
2021,63260,31,46,39,0.179,7,0,8,0.205,0,6,9,0,0,0
2021,63435,9,11,9,0.333,3,0,3,0.333,0,2,3,0,0,0
2021,63440,52,107,92,0.250,23,2,31,0.337,0,10,24,0,3,2
2021,63450,36,86,68,0.279,19,0,25,0.368,0,9,15,0,4,2
2021,63559,5,3,3,0.000,0,0,0,0.000,0,0,2,0,0,0
2021,63634,30,55,52,0.154,8,1,11,0.212,1,2,27,1,0,3
2021,63700,49,169,144,0.278,40,0,48,0.333,2,17,40,0,3,3
2021,63704,35,119,104,0.183,19,1,25,0.240,0,12,34,0,1,1
2021,63722,45,128,108,0.222,24,1,31,0.287,0,15,31,0,1,2
2021,63895,8,9,9,0.000,0,0,0,0.000,0,0,2,0,0,0
2021,63905,10,26,25,0.400,10,3,19,0.760,0,1,6,0,0,0
2021,63920,13,14,12,0.167,2,0,4,0.333,0,2,0,0,0,0
2021,63963,55,171,133,0.263,35,8,62,0.466,3,29,24,1,5,4
2021,64004,38,95,81,0.284,23,0,27,0.333,0,12,17,0,1,1
2021,64006,74,243,218,0.271,59,4,88,0.404,3,16,38,0,3,0
2021,64007,42,85,78,0.231,18,2,30,0.385,0,5,27,0,2,1
2021,64012,65,45,35,0.171,6,0,6,0.171,0,10,16,0,0,0
2021,64014,33,69,51,0.294,15,5,33,0.647,0,13,15,0,3,0
2021,64086,5,12,8,0.250,2,0,2,0.250,0,3,3,0,1,0
2021,64101,16,26,21,0.286,6,0,10,0.476,1,3,7,0,1,1
2021,64115,2,2,2,0.000,0,0,0,0.000,0,0,0,0,0,0
2021,64153,74,311,279,0.280,78,16,139,0.498,3,27,73,0,2,7
2021,64166,75,316,270,0.278,75,5,107,0.396,3,37,62,1,4,5
2021,64213,42,71,61,0.311,19,0,22,0.361,1,8,12,0,1,0
2021,64266,7,22,19,0.211,4,0,5,0.263,0,2,8,0,1,0
2021,64340,11,19,16,0.188,3,0,3,0.188,0,2,8,0,1,0
