GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD
2019,60100,16,48,44,0.227,10,0,13,0.295,0,0,18,0,2,1
2019,60184,3,2,2,0.000,0,0,0,0.000,0,0,1,0,0,0
2019,60288,8,13,13,0.231,3,0,4,0.308,0,0,6,0,0,1
2019,60343,30,43,40,0.125,5,0,5,0.125,0,2,11,0,1,0
2019,60523,88,222,190,0.226,43,2,55,0.289,1,23,47,1,5,4
2019,60558,123,392,352,0.250,88,6,124,0.352,2,31,78,0,4,8
2019,60566,102,256,234,0.278,65,0,72,0.308,3,9,22,0,2,10
2019,60605,10,20,19,0.211,4,0,4,0.211,0,1,5,0,0,1
2019,60648,9,20,16,0.188,3,0,4,0.250,0,2,6,0,1,1
2019,60805,7,15,12,0.250,3,0,3,0.250,0,3,4,0,0,0
2019,61102,132,468,418,0.270,113,16,183,0.438,6,30,82,2,13,21
2019,61104,20,31,27,0.185,5,0,6,0.222,0,2,4,0,2,2
2019,61114,4,9,9,0.111,1,0,1,0.111,0,0,0,0,0,0
2019,61186,138,613,546,0.308,168,2,204,0.374,1,57,82,1,5,13
2019,61197,96,275,251,0.251,63,5,95,0.378,0,14,47,2,2,4
2019,61204,42,85,78,0.282,22,0,26,0.333,0,6,15,0,0,1
2019,61208,66,110,96,0.208,20,1,23,0.240,0,11,24,0,0,2
2019,61353,137,513,492,0.323,159,3,207,0.421,2,18,89,1,1,5
2019,61404,114,467,411,0.297,122,5,159,0.387,6,37,41,1,8,18
2019,61554,72,140,125,0.256,32,2,44,0.352,1,9,41,0,3,4
2019,61566,71,162,149,0.255,38,1,45,0.302,0,12,28,0,1,1
2019,61591,3,1,1,0.000,0,0,0,0.000,0,0,0,0,0,0
2019,61700,52,135,113,0.239,27,0,31,0.274,1,15,32,0,3,3
2019,61743,2,1,1,0.000,0,0,0,0.000,0,0,1,0,0,0
2019,61869,13,17,16,0.188,3,0,3,0.188,0,1,2,0,0,0
2019,62025,94,285,256,0.258,66,8,101,0.395,3,20,47,0,1,5
2019,62164,13,24,21,0.238,5,0,6,0.286,0,3,8,0,0,1
2019,62234,118,316,276,0.250,69,0,79,0.286,3,24,40,0,7,6
2019,62244,137,505,441,0.279,123,4,172,0.390,6,41,68,1,7,5
2019,62265,61,202,175,0.291,51,5,81,0.463,0,24,35,0,3,6
2019,62353,60,88,71,0.197,14,0,18,0.254,0,11,31,0,5,1
2019,62356,94,250,222,0.248,55,3,74,0.333,2,22,68,0,4,4
2019,62404,122,526,475,0.267,127,15,211,0.444,6,38,88,2,7,5
2019,62409,30,34,32,0.281,9,0,10,0.313,0,2,10,1,0,0
2019,62415,144,581,506,0.239,121,5,166,0.328,3,58,82,0,2,4
2019,62499,1,2,2,0.000,0,0,0,0.000,0,0,1,0,0,0
2019,62537,2,4,4,0.250,1,0,1,0.250,0,0,1,0,0,1
2019,62556,121,413,375,0.256,96,1,108,0.288,1,24,62,1,8,9
2019,62558,43,104,88,0.159,14,0,17,0.193,0,12,23,0,2,1
2019,62668,2,3,3,0.000,0,0,0,0.000,0,0,1,0,0,0
2019,62700,5,20,19,0.263,5,0,7,0.368,0,0,4,0,0,1
2019,62797,56,129,119,0.168,20,1,26,0.218,0,9,28,0,0,2
2019,62802,101,245,223,0.233,52,3,72,0.323,0,14,50,0,2,5
2019,62864,53,116,96,0.167,16,0,18,0.188,2,15,29,0,3,1
2019,62884,52,147,127,0.228,29,0,34,0.268,1,16,24,0,2,3
2019,62893,4,5,5,0.000,0,0,0,0.000,0,0,2,0,0,0
2019,62895,125,502,427,0.265,113,12,169,0.396,0,55,100,4,20,6
2019,62907,125,526,468,0.344,161,1,203,0.434,6,41,40,1,9,10
2019,62908,57,130,123,0.301,37,1,49,0.398,1,5,12,0,0,2
2019,62921,6,9,9,0.111,1,0,2,0.222,0,0,5,0,0,1
