GYEAR,G_ID,PIT_ID,PCODE,T_ID,INN,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM
2020,20200505HHSK0,200505_140454,68743,HH,1,110.28,-20.2,2루타,144.39,문학
2020,20200505HHSK0,200505_140623,68730,HH,1,120.24,43.4,플라이,145.09,문학
2020,20200505HHSK0,200505_141146,63704,SK,1,127.87,-13.9,땅볼아웃,132.62,문학
2020,20200505HHSK0,200505_141334,61353,SK,1,136.55,30.2,플라이,133.36,문학
2020,20200505HHSK0,200505_141409,75847,SK,1,148.29,24,플라이,132.51,문학
2020,20200505HHSK0,200505_141618,76753,HH,2,156.38,21,2루타,142.61,문학
2020,20200505HHSK0,200505_141843,71752,HH,2,140.42,14,1루타,144.77,문학
2020,20200505HHSK0,200505_142407,62700,HH,2,128.01,1.7,병살타,133.52,문학
2020,20200505HHSK0,200505_142721,67872,SK,2,123.12,39.2,플라이,131.96,문학
2020,20200505HHSK0,200505_143029,74215,SK,2,86.17,58.8,파울플라이,144.26,문학
2020,20200505HHSK0,200505_143329,74163,HH,3,127.78,-13.3,땅볼아웃,143.64,문학
2020,20200505HHSK0,200505_143413,68743,HH,3,110.74,79.7,파울플라이,131.12,문학
2020,20200505HHSK0,200505_143450,68730,HH,3,150.73,33.2,플라이,140.07,문학
2020,20200505HHSK0,200505_143741,76812,SK,3,139.22,26,플라이,144.29,문학
2020,20200505HHSK0,200505_144515,76753,HH,4,158.25,1.4,땅볼아웃,122.97,문학
2020,20200505HHSK0,200505_144917,63704,SK,4,93.42,-18.4,땅볼아웃,131.05,문학
2020,20200505HHSK0,200505_145025,61353,SK,4,124.52,36.4,파울플라이,144.44,문학
2020,20200505HHSK0,200505_145112,75847,SK,4,110.67,71.9,플라이,144.36,문학
2020,20200505HHSK0,200505_145353,61208,HH,5,137.33,20.4,플라이,138.98,문학
2020,20200505HHSK0,200505_145425,78288,HH,5,147.69,32.9,플라이,141.55,문학
2020,20200505HHSK0,200505_145844,67872,SK,5,119.69,68.1,플라이,143.4,문학
2020,20200505HHSK0,200505_150050,62895,SK,5,137.45,52.4,파울플라이,144.69,문학
2020,20200505HHSK0,200505_150703,74163,HH,6,135.65,-0.9,내야안타(1루타),121.05,문학
2020,20200505HHSK0,200505_150841,68743,HH,6,137.06,15.7,플라이,136.63,문학
2020,20200505HHSK0,200505_151153,68730,HH,6,130.98,7.1,직선타,141.01,문학
2020,20200505HHSK0,200505_151757,76812,SK,6,132.31,62.7,플라이,144.23,문학
2020,20200505HHSK0,200505_151932,69825,SK,6,92.49,74.7,파울플라이,143.35,문학
2020,20200505HHSK0,200505_152041,63450,SK,6,152.34,-1.4,땅볼아웃,143.36,문학
2020,20200505HHSK0,200505_152306,76753,HH,7,161.17,14.6,2루타,127.61,문학
2020,20200505HHSK0,200505_153006,62700,HH,7,156.57,8.8,1루타,138.24,문학
2020,20200505HHSK0,200505_153801,67872,SK,7,166.33,9.6,1루타,142.94,문학
2020,20200505HHSK0,200505_153957,62895,SK,7,169.49,-6,땅볼아웃,137.84,문학
2020,20200505HHSK0,200505_154403,68743,HH,8,123.48,40.8,플라이,144.56,문학
2020,20200505HHSK0,200505_154445,68730,HH,8,158.04,7.9,1루타,144.1,문학
2020,20200505HHSK0,200505_155104,74215,SK,8,129.83,26.8,플라이,125.32,문학
2020,20200505HHSK0,200505_155215,76812,SK,8,149.18,8.1,직선타,142.09,문학
2020,20200505HHSK0,200505_155322,69825,SK,8,137.84,30.6,플라이,142.07,문학
2020,20200505HHSK0,200505_155644,76753,HH,9,151.48,-7.2,내야안타(1루타),129.55,문학
2020,20200505HHSK0,200505_155852,61208,HH,9,65.03,65.6,플라이,139.41,문학
2020,20200505HHSK0,200505_160000,78288,HH,9,98.18,64.2,파울플라이,136.21,문학
2020,20200505HHSK0,200505_160317,77463,SK,9,110.39,43.9,플라이,144.63,문학
2020,20200505HHSK0,200505_160412,75151,SK,9,120.11,-0.8,땅볼아웃,135.02,문학
2020,20200505HHSK0,200505_160531,61353,SK,9,104.2,13.9,1루타,131.34,문학
2020,20200505HHSK0,200505_160735,75847,SK,9,112.06,53.8,플라이,132,문학
2020,20200505LTKT0,200505_151357,76249,LT,1,144.79,-4.3,땅볼아웃,141.93,수원
2020,20200505LTKT0,200505_151649,77532,LT,1,116.16,11.1,직선타,114.36,수원
2020,20200505LTKT0,200505_152151,64004,KT,1,144.49,-7.3,땅볼아웃,132.71,수원
2020,20200505LTKT0,200505_152334,68050,KT,1,162.85,44,플라이,142.57,수원
2020,20200505LTKT0,200505_152605,71564,LT,2,153.85,-6.2,땅볼아웃,144.32,수원
2020,20200505LTKT0,200505_153421,74339,KT,2,133.25,15.6,1루타,134.57,수원
2020,20200505LTKT0,200505_153725,67025,KT,2,85.02,26.5,2루타,134.86,수원
2020,20200505LTKT0,200505_153845,76313,KT,2,127.78,73.8,플라이,143.23,수원
2020,20200505LTKT0,200505_154436,78548,KT,2,146.8,-17.4,병살타,144.42,수원
2020,20200505LTKT0,200505_154924,68518,LT,3,91.15,-9.6,땅볼아웃,111.8,수원
2020,20200505LTKT0,200505_155339,64166,KT,3,138.44,45.4,플라이,142.68,수원
2020,20200505LTKT0,200505_155546,64004,KT,3,117.69,26.9,플라이,142.93,수원
2020,20200505LTKT0,200505_160005,78513,LT,4,145.37,4,땅볼아웃,148.88,수원
2020,20200505LTKT0,200505_160122,77532,LT,4,152.6,-3.7,1루타,150.12,수원
2020,20200505LTKT0,200505_160345,71564,LT,4,152.7,8.9,1루타,113.28,수원
2020,20200505LTKT0,200505_161201,74339,KT,4,135.41,71.3,플라이,144.06,수원
2020,20200505LTKT0,200505_161621,60523,LT,5,153.23,26.9,2루타,143.36,수원
2020,20200505LTKT0,200505_161744,50506,LT,5,139.15,15.3,1루타,143.57,수원
2020,20200505LTKT0,200505_161954,68525,LT,5,109.59,-1.7,병살타,147.89,수원
2020,20200505LTKT0,200505_162617,76313,KT,5,131.55,29.4,플라이,132.27,수원
2020,20200505LTKT0,200505_164051,78513,LT,6,160.2,-14.8,땅볼아웃,143.07,수원
2020,20200505LTKT0,200505_164810,64004,KT,6,123.34,56.8,플라이,141.87,수원
2020,20200505LTKT0,200505_164903,68050,KT,6,161.84,36.4,홈런,141.38,수원
2020,20200505LTKT0,200505_165219,74339,KT,6,158.52,14.7,플라이,140.65,수원
2020,20200505LTKT0,200505_170209,71564,LT,7,134.06,63,플라이,140.48,수원
2020,20200505LTKT0,200505_171240,50506,LT,7,147.6,27.3,홈런,141.85,수원
2020,20200505LTKT0,200505_171532,68525,LT,7,164.73,-12.8,땅볼아웃,130.5,수원
2020,20200505LTKT0,200505_171840,68518,LT,7,123.42,83.9,플라이,141.74,수원
2020,20200505LTKT0,200505_172313,78548,KT,7,153.43,33.9,플라이,127.41,수원
2020,20200505LTKT0,200505_172406,64166,KT,7,156.3,2.2,1루타,134.93,수원
2020,20200505LTKT0,200505_173511,78513,LT,8,159.39,42.1,홈런,134.28,수원
2020,20200505LTKT0,200505_174018,71564,LT,8,151.41,13.8,1루타,128.9,수원
2020,20200505LTKT0,200505_174332,79608,LT,8,158.7,-2.4,땅볼아웃,141.37,수원
2020,20200505LTKT0,200505_174623,60523,LT,8,142.47,49.6,희생플라이,139.64,수원
2020,20200505LTKT0,200505_174712,50506,LT,8,153.23,-5.5,땅볼아웃,142.06,수원
2020,20200505LTKT0,200505_175756,74339,KT,8,113.24,-0.9,내야안타(1루타),129.23,수원
2020,20200505LTKT0,200505_181103,73113,KT,9,156.22,34.1,플라이,144.62,수원
2020,20200505NCSS0,200505_143348,62907,NC,1,153.15,15.6,플라이,135.37,대구
2020,20200505NCSS0,200505_143442,50923,NC,1,140.12,28.2,플라이,114.97,대구
2020,20200505NCSS0,200505_143819,62947,NC,1,162.43,-1.2,1루타,140.48,대구
2020,20200505NCSS0,200505_144349,61404,SS,1,114.87,41.8,플라이,135.33,대구
2020,20200505NCSS0,200505_144501,62404,SS,1,134.04,51.8,파울플라이,146.03,대구
2020,20200505NCSS0,200505_144636,50468,SS,1,140.31,1.8,1루타,146.32,대구
2020,20200505NCSS0,200505_150506,62415,SS,2,136.19,30.6,플라이,137.48,대구
2020,20200505NCSS0,200505_151021,62907,NC,3,139.09,-21.8,땅볼아웃,139.72,대구
