GYEAR,G_ID,PIT_ID,PCODE,T_ID,INN,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM
2019,20190323HHOB0,190323_141330,76753,HH,1,132.99,72.6,파울플라이,135.5,잠실
2019,20190323HHOB0,190323_141717,68730,HH,1,146.08,4.7,1루타,137.97,잠실
2019,20190323HHOB0,190323_141942,71752,HH,1,116.93,2.9,1루타,143.43,잠실
2019,20190323HHOB0,190323_142111,73136,HH,1,135.1,-2.5,땅볼아웃,138.24,잠실
2019,20190323HHOB0,190323_142928,79215,OB,1,151.58,26.3,플라이,145.88,잠실
2019,20190323HHOB0,190323_143521,62700,HH,2,157.48,-9.3,땅볼아웃,128.86,잠실
2019,20190323HHOB0,190323_143730,78288,HH,2,161.25,-5.3,1루타,135.04,잠실
2019,20190323HHOB0,190323_144539,69209,OB,2,126.45,2.5,병살타,143.61,잠실
2019,20190323HHOB0,190323_144952,75808,HH,3,147.64,11,1루타,142.03,잠실
2019,20190323HHOB0,190323_145121,76753,HH,3,155.92,8.7,2루타,141.6,잠실
2019,20190323HHOB0,190323_150114,62244,OB,3,117.71,31.4,플라이,143.54,잠실
2019,20190323HHOB0,190323_150218,74206,OB,3,130.97,72.5,파울플라이,143.86,잠실
2019,20190323HHOB0,190323_150432,79240,OB,3,129.35,50.2,플라이,145.31,잠실
2019,20190323HHOB0,190323_150915,78288,HH,4,122.43,34.7,플라이,130.69,잠실
2019,20190323HHOB0,190323_151016,68743,HH,4,136.3,48.7,플라이,142.84,잠실
2019,20190323HHOB0,190323_151345,79231,OB,4,121.52,22,1루타,133.84,잠실
2019,20190323HHOB0,190323_151627,79215,OB,4,166.32,19.2,홈런,141.74,잠실
2019,20190323HHOB0,190323_151734,78224,OB,4,132.66,28.8,플라이,137.88,잠실
2019,20190323HHOB0,190323_151936,75334,OB,4,123.4,51,플라이,128.23,잠실
2019,20190323HHOB0,190323_152112,69209,OB,4,125.51,3.3,땅볼아웃,144.63,잠실
2019,20190323HHOB0,190323_152529,75808,HH,5,136.24,14.5,1루타,144.76,잠실
2019,20190323HHOB0,190323_153117,68730,HH,5,164.56,-0.2,1루타,143.39,잠실
2019,20190323HHOB0,190323_153232,71752,HH,5,131.69,6.3,1루타,143.73,잠실
2019,20190323HHOB0,190323_153735,62700,HH,5,132.64,-19.3,병살타,134.02,잠실
2019,20190323HHOB0,190323_154055,77248,OB,5,135.55,-4.3,땅볼아웃,128.56,잠실
2019,20190323HHOB0,190323_154350,62244,OB,5,121.71,14.5,1루타,134.98,잠실
2019,20190323HHOB0,190323_154510,74206,OB,5,140.12,23.9,플라이,140.51,잠실
2019,20190323HHOB0,190323_154613,79240,OB,5,125.36,0.4,땅볼아웃,131.75,잠실
2019,20190323HHOB0,190323_160056,75808,HH,6,144.01,33.7,플라이,124.84,잠실
2019,20190323HHOB0,190323_160441,79231,OB,6,61.33,52.6,파울플라이,137.72,잠실
2019,20190323HHOB0,190323_160559,79215,OB,6,150.89,5.9,1루타,135.23,잠실
2019,20190323HHOB0,190323_161149,75334,OB,6,140.17,38.6,플라이,135.49,잠실
2019,20190323HHOB0,190323_161509,69209,OB,6,148.42,0.8,1루타,133.98,잠실
2019,20190323HHOB0,190323_162252,76753,HH,7,163.35,7.1,직선타,140.14,잠실
2019,20190323HHOB0,190323_163126,71752,HH,7,147.73,-6.4,병살타,120.3,잠실
2019,20190323HHOB0,190323_163656,79240,OB,7,153.06,-4.2,땅볼아웃,139.66,잠실
2019,20190323HHOB0,190323_163959,73136,HH,8,142.57,17.2,1루타,140.67,잠실
2019,20190323HHOB0,190323_164602,62797,HH,8,123.81,33.5,플라이,139.29,잠실
2019,20190323HHOB0,190323_164910,78288,HH,8,154.59,11.6,1루타,134.97,잠실
2019,20190323HHOB0,190323_170841,69209,OB,8,141.56,8.9,2루타,142.03,잠실
2019,20190323HHOB0,190323_171817,68730,HH,9,147.71,7.6,1루타,139.89,잠실
2019,20190323HHOB0,190323_172432,73136,HH,9,138.41,25.5,희생플라이,138.56,잠실
2019,20190323HHOB0,190323_172557,62700,HH,9,112.91,7.1,땅볼아웃,140.27,잠실
2019,20190323KTSK0,190323_141028,74339,KT,1,161.52,-5.9,1루타,140.11,문학
2019,20190323KTSK0,190323_141138,74215,KT,1,94.02,33.7,1루타,145.44,문학
2019,20190323KTSK0,190323_141307,60558,KT,1,155.29,14.1,플라이,144.99,문학
2019,20190323KTSK0,190323_142226,62895,SK,1,148.75,33.7,홈런,142.52,문학
2019,20190323KTSK0,190323_142459,67872,SK,1,145.33,-16.5,2루타,143.94,문학
2019,20190323KTSK0,190323_142923,76812,SK,1,146.46,-0.8,1루타,123.05,문학
2019,20190323KTSK0,190323_143119,75151,SK,1,128.74,12.2,1루타,134.63,문학
2019,20190323KTSK0,190323_143242,71837,SK,1,117.16,37.2,플라이,141.49,문학
2019,20190323KTSK0,190323_143331,62884,SK,1,133.65,43.8,플라이,131.15,문학
2019,20190323KTSK0,190323_143551,78548,KT,2,154.69,17.5,1루타,145.31,문학
2019,20190323KTSK0,190323_143643,64166,KT,2,96.15,-20.8,땅볼아웃,134.6,문학
2019,20190323KTSK0,190323_144050,76313,KT,2,110.69,-23.6,땅볼아웃,129.05,문학
2019,20190323KTSK0,190323_144145,73113,KT,2,83.64,-33.8,땅볼아웃,147.95,문학
2019,20190323KTSK0,190323_144350,76802,SK,2,103.38,51.5,플라이,143.51,문학
2019,20190323KTSK0,190323_144445,63704,SK,2,141.87,-9.3,땅볼아웃,137.09,문학
2019,20190323KTSK0,190323_144539,62895,SK,2,164.32,2.5,땅볼아웃,132.49,문학
2019,20190323KTSK0,190323_144804,68050,KT,3,152.26,10.5,1루타,135.14,문학
2019,20190323KTSK0,190323_145336,74339,KT,3,124.29,-6.8,병살타,129.34,문학
2019,20190323KTSK0,190323_145828,75847,SK,3,128.51,48.3,플라이,138.98,문학
2019,20190323KTSK0,190323_145901,67872,SK,3,127.85,68.1,플라이,142.89,문학
2019,20190323KTSK0,190323_150346,60558,KT,4,145.73,10.4,1루타,124.13,문학
2019,20190323KTSK0,190323_150438,78548,KT,4,155.88,28.3,홈런,142.46,문학
2019,20190323KTSK0,190323_150622,64166,KT,4,122.5,55.8,플라이,126.69,문학
2019,20190323KTSK0,190323_150720,76313,KT,4,154.05,17.2,플라이,144.42,문학
2019,20190323KTSK0,190323_151055,75151,SK,4,109.73,0.7,땅볼아웃,122.77,문학
2019,20190323KTSK0,190323_151145,71837,SK,4,133.96,7.1,1루타,123.6,문학
2019,20190323KTSK0,190323_151340,62884,SK,4,99.22,30.8,1루타,132.38,문학
2019,20190323KTSK0,190323_151540,76802,SK,4,132.48,54.8,플라이,139.76,문학
2019,20190323KTSK0,190323_151730,63704,SK,4,130.65,11.9,1루타,141.52,문학
2019,20190323KTSK0,190323_151850,62895,SK,4,96.99,63.7,플라이,136.07,문학
2019,20190323KTSK0,190323_152159,68050,KT,5,106.11,-18.4,땅볼아웃,136.29,문학
2019,20190323KTSK0,190323_152426,74339,KT,5,158.35,-20.8,땅볼아웃,144.77,문학
2019,20190323KTSK0,190323_152709,67872,SK,5,124.09,74,파울플라이,142.3,문학
2019,20190323KTSK0,190323_152943,76812,SK,5,53.83,-42.2,땅볼아웃,126.76,문학
2019,20190323KTSK0,190323_153408,74215,KT,6,160.23,-9.5,땅볼아웃,145,문학
2019,20190323KTSK0,190323_154647,64166,KT,6,95.06,28.5,1루타,136,문학
2019,20190323KTSK0,190323_155514,75151,SK,6,128.01,27.6,플라이,125.79,문학
2019,20190323KTSK0,190323_160236,76802,SK,6,133.64,24.7,플라이,139.7,문학
2019,20190323KTSK0,190323_160924,67025,KT,7,80.75,40.4,플라이,121.43,문학
2019,20190323KTSK0,190323_161153,74339,KT,7,122.59,41,플라이,147.7,문학
2019,20190323KTSK0,190323_162707,67872,SK,7,158.21,28,홈런,142.76,문학
2019,20190323KTSK0,190323_163310,75151,SK,7,138.35,-14.3,땅볼아웃,143.21,문학
2019,20190323KTSK0,190323_164132,78548,KT,8,127.51,24.5,플라이,128.59,문학
2019,20190323KTSK0,190323_165306,76802,SK,8,145.56,0.9,병살타,145.42,문학
2019,20190323KTSK0,190323_165622,63704,SK,8,116.37,44.7,파울플라이,144.75,문학
2019,20190323KTSK0,190323_170036,60343,KT,9,155.39,3.6,직선타,131.88,문학
2019,20190323KTSK0,190323_170127,76313,KT,9,151.54,-4.9,땅볼아웃,131.22,문학
2019,20190323KTSK0,190323_170438,68050,KT,9,145.94,36.3,플라이,130.43,문학
2019,20190323LGHT0,190323_140045,78135,LG,1,152.23,6.1,1루타,140.25,광주
2019,20190323LGHT0,190323_140957,69605,HT,1,153.04,-5.2,1루타,142.84,광주
2019,20190323LGHT0,190323_142256,79192,LG,2,147.44,43,플라이,141.66,광주
2019,20190323LGHT0,190323_142413,72133,LG,2,151.71,16.3,2루타,142.09,광주
2019,20190323LGHT0,190323_143037,76849,HT,2,154.86,12.3,1루타,142.27,광주
2019,20190323LGHT0,190323_143941,78603,HT,2,121.9,33.9,플라이,125.67,광주
2019,20190323LGHT0,190323_144228,61102,LG,3,112.38,6.4,1루타,139.21,광주
2019,20190323LGHT0,190323_144559,79150,LG,3,159.01,-9.7,병살타,138.99,광주
2019,20190323LGHT0,190323_145312,72443,HT,3,144.58,34,플라이,125,광주
2019,20190323LGHT0,190323_150719,70410,HT,4,116.41,12.4,2루타,141.82,광주
2019,20190323LGHT0,190323_151522,78629,HT,4,162.78,19.6,플라이,143.91,광주
2019,20190323LGHT0,190323_151711,63722,HT,4,146.45,46.6,플라이,139.82,광주
2019,20190323LGHT0,190323_152010,79192,LG,5,152.06,25.4,2루타,136.95,광주
2019,20190323LGHT0,190323_152147,72133,LG,5,145.62,27.8,플라이,141.76,광주
2019,20190323LGHT0,190323_153329,78135,LG,5,107.15,-3.4,땅볼아웃,127.35,광주
2019,20190323LGHT0,190323_153839,66606,HT,5,139.87,22.3,플라이,141.62,광주
2019,20190323LGHT0,190323_154202,69605,HT,5,117.27,-9.2,땅볼아웃,125.17,광주
2019,20190323LGHT0,190323_154751,76290,LG,6,123.68,37.1,플라이,138.44,광주
2019,20190323LGHT0,190323_155104,69150,LG,6,133.54,6.4,직선타,126.53,광주
2019,20190323LGHT0,190323_155613,72443,HT,6,126.12,43.1,플라이,139.39,광주
2019,20190323LGHT0,190323_160258,79192,LG,7,161.45,-2.8,1루타,134.82,광주
2019,20190323LGHT0,190323_161514,76849,HT,7,151.39,-1.8,땅볼아웃,137.91,광주
2019,20190323LGHT0,190323_161555,78629,HT,7,150.08,40.2,플라이,121.32,광주
2019,20190323LGHT0,190323_161843,63722,HT,7,113.52,83.3,파울플라이,126.86,광주
2019,20190323LGHT0,190323_162434,78135,LG,8,149.86,37.7,2루타,122.48,광주
2019,20190323LGHT0,190323_165211,72133,LG,9,132.8,14.4,1루타,140.37,광주
2019,20190323LGHT0,190323_165745,79198,LG,9,138.56,-6.3,땅볼아웃,140.29,광주
2019,20190323LGHT0,190323_170239,70410,HT,9,148.91,19.9,플라이,145.23,광주
2019,20190323SSNC0,190323_140248,62404,SS,1,144.54,-1,병살타,144.23,창원
2019,20190323SSNC0,190323_140430,75566,SS,1,163.86,-9.9,땅볼아웃,146.62,창원
2019,20190323SSNC0,190323_140700,60566,NC,1,147.27,-0.5,1루타,145.53,창원
2019,20190323SSNC0,190323_141545,69950,NC,1,158.11,30.5,홈런,147.77,창원
2019,20190323SSNC0,190323_141658,76232,NC,1,149.59,33.2,홈런,147.04,창원
2019,20190323SSNC0,190323_141822,78813,NC,1,115.14,-9.9,땅볼아웃,132.68,창원
2019,20190323SSNC0,190323_141912,63963,NC,1,143.91,0.5,땅볼아웃,131.4,창원
2019,20190323SSNC0,190323_142223,67450,SS,2,167.5,4.5,1루타,144.25,창원
2019,20190323SSNC0,190323_142624,61404,SS,2,119.01,-24.5,땅볼아웃,147.6,창원
2019,20190323SSNC0,190323_142822,74540,SS,2,147.4,49.7,플라이,149.51,창원
2019,20190323SSNC0,190323_143101,73306,NC,2,104.18,1,땅볼아웃,128.36,창원
2019,20190323SSNC0,190323_143433,60566,NC,2,149.94,-4.1,1루타,147.17,창원
2019,20190323SSNC0,190323_143607,62931,NC,2,155.65,38.6,홈런,146.66,창원
2019,20190323SSNC0,190323_143854,74465,NC,2,107,27,1루타,131.78,창원
2019,20190323SSNC0,190323_143938,69950,NC,2,123.31,14.6,1루타,145.97,창원
2019,20190323SSNC0,190323_144330,76232,NC,2,162.8,-11.2,땅볼아웃,119.24,창원
2019,20190323SSNC0,190323_144641,69453,SS,3,152.03,33,플라이,147.65,창원
2019,20190323SSNC0,190323_144742,79402,SS,3,155.51,10.1,1루타,141.25,창원
2019,20190323SSNC0,190323_145018,62415,SS,3,137.79,45,플라이,147.04,창원
2019,20190323SSNC0,190323_145143,62404,SS,3,119.56,77.1,파울플라이,139.93,창원
2019,20190323SSNC0,190323_145428,78813,NC,3,132.75,66.8,플라이,144.96,창원
2019,20190323SSNC0,190323_145524,63963,NC,3,135.26,46.8,플라이,129.27,창원
2019,20190323SSNC0,190323_145848,75566,SS,4,91.76,11.2,땅볼아웃,146.52,창원
2019,20190323SSNC0,190323_145947,67450,SS,4,150.7,-3.7,병살타,147.17,창원
2019,20190323SSNC0,190323_150330,62934,NC,4,130.13,27,플라이,127.85,창원
2019,20190323SSNC0,190323_150426,60566,NC,4,139.56,13.4,1루타,126.99,창원
2019,20190323SSNC0,190323_152226,61404,SS,5,124.5,-4.9,땅볼아웃,143.25,창원
2019,20190323SSNC0,190323_152901,63963,NC,5,122.54,-6.4,땅볼아웃,113.53,창원
2019,20190323SSNC0,190323_153010,73306,NC,5,145.54,43.1,플라이,131.44,창원
2019,20190323SSNC0,190323_154001,62415,SS,6,151.59,-5.9,병살타,148.44,창원
